product_name,product_price,product_brand,product_image_url,product_url
Gnu Ladies Choice 148.5 2021,"€ 219,95",Gnu,//images.blue-tomato.com/is/image/bluetomato/304300180_front.jpg-fvDU9sh28u-ADjreCh0WzdcRpJE/Capita+Defenders+Of+Awesome+156+2021+Snowboard.jpg?$b1$,/de-AT/product/Gnu-Ladies+Choice+148+5+2021+Snowboard-628692/
DC Phase 2021,"€ 59,95",DC,//images.blue-tomato.com/is/image/bluetomato/304345745_front.jpg-T3nLEZXZ7eJukZ96jqEpbRD9Hzo/Burton+Talent+Scout+149+2021+Snowboard.jpg?$b1$,/de-AT/product/DC-Phase+2021+Snowboardboots-614781/
Nitro Team Wide 162 2021,"€ 569,95",Nitro,//images.blue-tomato.com/is/image/bluetomato/304378363_front.jpg-BQaeErD93FCVSZiv7eH33xW_3No/Salomon+Faction+Boa+Snowboard+Boots+2021.jpg?$b1$,/de-AT/product/Nitro-Team+Wide+162+2021+Snowboard-620520/
Burton Ritual Ltd Boa 2021,"€ 159,95",Burton,//images.blue-tomato.com/is/image/bluetomato/304363256_front.jpg-Sst3PeZsbAU2Nt82JHTUFweT1pg/Anon+Raider+3+Helm.jpg?$b1$,/de-AT/product/Burton-Ritual+Ltd+Boa+2021+Snowboardboots-623039/
Capita Defenders Of Awesome 155W 2021,"€ 499,95",Capita,//images.blue-tomato.com/is/image/bluetomato/304360290_front.jpg-iygIcrxMjXyVbG6reM4yG_cGLaw/K2+Phase+Pro+Helm.jpg?$b1$,/de-AT/product/Capita-Defenders+Of+Awesome+155W+2021+Snowboard-618465/
Lib Tech Travis Rice Orca 159 2021,"€ 349,95",Lib Tech,//images.blue-tomato.com/is/image/bluetomato/304371982_front.jpg-l68JKNceYKSsn3HGqQ4jq4qGvks/Vans+Sam+Taxwood+Standard+MTE+Winterschuhe.jpg?$b1$,/de-AT/product/Lib+Tech-Travis+Rice+Orca+159+2021+Snowboard-628804/
Capita Defenders Of Awesome 156 2021,"€ 479,95",Capita,//images.blue-tomato.com/is/image/bluetomato/304300409_front.jpg-7b7pJqoPtpD2cuDOC3LWLN0h4x0/Union+Contact+Pro+2021+Snowboardbindung.jpg?$b1$,/de-AT/product/Capita-Defenders+Of+Awesome+156+2021+Snowboard-618461/
Burton Talent Scout 149 2021,"€ 649,95",Burton,//images.blue-tomato.com/is/image/bluetomato/304372978_front.jpg-gwnq3_6XCZsEsDrNsStdhPGn29g/Lib+Tech+Travis+Rice+Orca+150+2021+Snowboard.jpg?$b1$,/de-AT/product/Burton-Talent+Scout+149+2021+Snowboard-622999/
Salomon Faction Boa Snowboard Boots 2021,"€ 479,95",Salomon,//images.blue-tomato.com/is/image/bluetomato/304368032_front.jpg--ebNFZ9AWYJFOLbUA5SLMmC1rZA/Smith+Scout+Helm.jpg?$b1$,/de-AT/product/Salomon-Faction+Boa+Snowboard+Boots+2021-630673/
Anon Raider 3 Helmet,"€ 499,95",Anon,//images.blue-tomato.com/is/image/bluetomato/304372935_front.jpg-fDr1hbfD3c5IzaVOQ-aFyh_4V9M/Lib+Tech+Travis+Rice+Pro+Pointy+1645W+2021+Snowboard.jpg?$b1$,/de-AT/product/Anon-Raider+3+Helm-625961/
K2 Phase Pro Helmet,"€ 229,95",K2,//images.blue-tomato.com/is/image/bluetomato/304375217_front.jpg-KkJxFF86rGv82okOM0mS8diSKi8/Jones+Snowboards+Mercury+Snowboard+Bindung+2021.jpg?$b1$,/de-AT/product/K2-Phase+Pro+Helm-625218/
